,,Ranking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serp api,Germany,2,2,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serp%20api&engine=google&location=Germany&num=100
Google Search API,United States,16,16,15,16,15,16,16,10,17,14,14,20,12,16,12,9,11,14,12,15,12,13,9,7,8,10,6,6,6,6,6,6,6,6,6,5,5,5,6,4,5,3,4,5,4,3,5,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,5,4,3,4,4,3,q=Google%20Search%20API&engine=google&location=United%20States&num=100
Google Search API,Canada,16,16,21,13,15,16,16,16,14,14,12,13,12,10,12,9,12,11,11,13,10,11,11,7,9,8,6,6,6,6,6,6,6,6,6,5,5,5,5,4,3,3,4,5,4,3,5,6,5,3,3,3,3,2,2,1,2,2,2,2,2,2,5,4,3,4,4,Loading...,q=Google%20Search%20API&engine=google&location=Canada&num=100
Google Search API,France,15,15,15,16,15,16,15,10,14,14,12,13,19,15,12,9,10,12,15,14,13,15,11,7,11,8,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,3,4,5,4,3,5,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,5,5,3,4,3,Loading...,q=Google%20Search%20API&engine=google&location=France&num=100
Google Search API,United Kingdom,,15,15,16,16,16,15,8,15,14,11,18,19,10,12,12,14,11,11,10,13,12,7,7,8,8,6,6,6,6,6,6,6,6,6,5,3,5,6,4,5,3,4,5,4,3,5,3,5,3,4,3,3,2,2,2,2,2,2,2,2,2,5,4,3,4,4,Loading...,q=Google%20Search%20API&engine=google&location=United%20Kingdom&num=100
Google Search API,Germany,15,15,19,18,12,16,17,17,,10,10,13,13,10,12,11,14,12,11,11,10,8,7,7,11,9,6,5,6,6,6,6,6,6,6,5,5,5,6,4,5,3,4,5,4,3,5,6,5,3,3,3,3,2,2,2,2,2,2,2,2,2,5,4,3,4,2,Loading...,q=Google%20Search%20API&engine=google&location=Germany&num=100
Google Search Results API,United States,9,9,8,7,5,7,,7,6,7,6,6,6,6,6,6,5,5,5,6,4,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,7,6,3,3,3,3,3,3,3,4,3,3,4,3,3,3,2,1,1,1,2,1,2,2,2,2,2,2,3,Loading...,q=Google Search Results API&engine=google&location=United States&num=100
Google Search Results API,Canada,7,7,7,,5,,8,7,6,7,6,6,6,6,6,5,5,5,5,6,4,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,6,6,4,3,3,3,3,3,3,4,3,3,4,3,3,3,2,1,1,1,2,1,2,2,2,2,2,2,3,Loading...,q=Google Search Results API&engine=google&location=Canada&num=100
Google Search Results API,France,7,7,5,7,8,8,9,6,6,6,6,6,6,6,6,6,5,5,5,6,3,4,6,6,6,6,6,4,5,5,5,5,5,5,5,5,4,4,6,6,4,3,3,3,3,3,3,4,3,3,4,3,4,3,2,1,1,1,2,1,2,2,2,2,2,2,3,Loading...,q=Google Search Results API&engine=google&location=France&num=100
Google Search Results API,United Kingdom,,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,4,6,6,6,6,6,7,4,22,5,5,5,5,5,5,5,4,5,6,6,4,3,3,3,3,3,3,4,3,3,4,3,3,3,2,2,1,1,2,1,2,2,2,2,2,2,3,Loading...,q=Google Search Results API&engine=google&location=United Kingdom&num=100
Google Search Results API,Germany,7,7,7,,8,9,5,5,6,6,6,6,6,6,6,6,5,5,6,6,3,4,6,6,6,6,6,4,5,5,5,5,5,5,5,5,4,4,7,6,4,3,3,3,3,3,3,4,3,3,4,3,4,3,2,1,1,1,2,1,2,2,2,2,2,2,3,Loading...,q=Google Search Results API&engine=google&location=Germany&num=100
Google Organic Results API,United States,9,9,9,,1,1,3,3,1,7,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Loading...,q=Google Organic Results API&engine=google&location=United States&num=100
Google Organic Results API,Canada,7,7,4,3,2,2,3,3,3,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Organic Results API&engine=google&location=Canada&num=100
Google Organic Results API,France,2,2,8,3,2,1,3,4,2,3,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Organic Results API&engine=google&location=France&num=100
Google Organic Results API,United Kingdom,,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Organic Results API&engine=google&location=United Kingdom&num=100
Google Organic Results API,Germany,8,8,2,1,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,Loading...,q=Google Organic Results API&engine=google&location=Germany&num=100
google serp api,United States,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=google serp api&engine=google&location=United States&num=100
google serp api,Canada,2,2,2,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=google serp api&engine=google&location=Canada&num=100
google serp api,France,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=google serp api&engine=google&location=France&num=100
google serp api,United Kingdom,,,2,1,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=google serp api&engine=google&location=United Kingdom&num=100
google serp api,Germany,2,2,2,2,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=google serp api&engine=google&location=Germany&num=100
serps api,United States,4,4,5,4,4,4,4,,5,5,4,4,4,4,5,5,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serps api&engine=google&location=United States&num=100
serps api,Canada,4,4,3,4,3,,4,4,5,5,4,5,5,4,5,5,4,4,4,4,3,3,3,3,3,3,3,3,0,3,3,2,2,2,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serps api&engine=google&location=Canada&num=100
serps api,France,4,4,4,4,4,,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serps api&engine=google&location=France&num=100
serps api,United Kingdom,,4,4,4,4,,4,4,3,4,4,5,4,4,5,5,4,4,4,4,3,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serps api&engine=google&location=United Kingdom&num=100
serps api,Germany,4,4,5,3,4,,3,5,4,4,4,4,4,,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=serps api&engine=google&location=Germany&num=100
Google Search Engine API,United States,39,39,47,37,42,,49,37,39,37,38,41,45,40,23,21,15,16,18,17,17,22,14,17,17,18,29,19,18,22,20,20,22,21,20,21,6,5,5,5,3,8,6,5,5,3,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,4,3,4,4,4,Loading...,q=Google Search Engine API&engine=google&location=United States&num=100
Google Search Engine API,Canada,35,35,37,48,42,39,47,41,39,35,34,44,45,24,21,21,15,15,15,17,21,19,17,17,18,18,18,19,18,21,21,20,23,22,21,21,6,23,5,5,7,5,6,5,5,3,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,4,3,4,4,4,Loading...,q=Google Search Engine API&engine=google&location=Canada&num=100
Google Search Engine API,France,53,53,37,46,42,,39,42,39,37,34,44,44,40,23,22,15,18,18,17,19,20,14,15,17,18,29,19,18,21,21,20,23,23,19,20,6,23,5,5,5,5,7,5,5,3,3,4,3,5,5,3,3,2,2,2,2,2,2,2,2,2,4,3,4,4,4,Loading...,q=Google Search Engine API&engine=google&location=France&num=100
Google Search Engine API,United Kingdom,,43,43,45,42,,45,40,39,35,36,41,46,24,21,20,15,16,16,17,18,21,17,16,17,19,28,19,20,22,21,20,21,24,21,21,5,6,5,4,7,8,7,5,5,3,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,3,3,4,4,3,Loading...,q=Google Search Engine API&engine=google&location=United Kingdom&num=100
Google Search Engine API,Germany,35,35,46,44,42,,47,43,39,37,33,41,43,41,25,20,15,18,15,17,16,20,18,17,17,20,28,20,19,22,23,20,20,24,21,20,6,5,5,4,7,8,7,5,5,3,3,4,3,5,5,4,3,2,2,2,2,2,2,2,2,2,3,3,4,4,4,Loading...,q=Google Search Engine API&engine=google&location=Germany&num=100
Google Local Pack API ,United States,1,1,1,1,2,2,2,2,2,2,2,1,2,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,21,2,2,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,q=Google Local Pack API &engine=google&location=United States&num=100
Google Local Pack API ,Canada,1,1,2,0,2,2,2,2,1,2,2,2,3,0,0,0,1,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,2,0,2,-,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Local Pack API &engine=google&location=Canada&num=100
Google Local Pack API ,France,1,1,2,0,1,2,1,0,1,2,2,1,3,1,0,1,1,1,1,0,1,1,0,1,2,2,0,0,0,0,0,2,0,2,2,-,60,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Local Pack API &engine=google&location=France&num=100
Google Local Pack API ,United Kingdom,,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,2,2,0,0,0,2,0,0,56,0,0,2,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google Local Pack API &engine=google&location=United Kingdom&num=100
Google Local Pack API ,Germany,1,1,2,0,1,,2,1,2,1,1,2,2,1,1,1,1,0,1,0,0,1,1,1,1,2,0,0,0,0,0,2,36,2,2,2,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,q=Google Local Pack API &engine=google&location=Germany&num=100
Knowledge Graph API,United States,36,36,36,38,34,32,34,36,36,37,27,38,0,39,34,31,27,25,0,0,23,26,34,34,32,24,27,22,20,19,19,20,17,12,18,18,13,20,46,36,10,4,5,5,6,5,6,8,9,8,8,5,6,7,3,6,7,3,4,4,4,4,4,7,4,7,7,Loading...,q=Knowledge Graph API&engine=google&location=United States&num=100
Knowledge Graph API,Canada,36,36,37,37,33,33,35,37,34,37,0,33,0,41,34,33,27,27,0,0,23,29,34,34,32,24,27,23,20,20,19,20,17,12,18,16,18,20,22,25,11,4,5,5,6,5,6,8,9,8,8,7,14,7,3,6,7,3,4,4,4,4,4,7,4,8,6,7,q=Knowledge Graph API&engine=google&location=Canada&num=100
Knowledge Graph API,France,37,37,37,41,33,34,34,38,35,37,30,38,34,38,36,22,27,25,0,0,23,28,34,34,33,24,27,23,20,20,19,20,17,17,18,18,12,20,46,24,10,4,5,5,8,5,6,8,9,8,8,7,4,7,3,7,7,3,4,4,4,4,4,7,4,8,6,Loading...,q=Knowledge Graph API&engine=google&location=France&num=100
Knowledge Graph API,United Kingdom,,35,35,39,26,33,32,37,35,40,30,33,37,40,36,30,28,25,0,0,23,29,34,38,34,24,26,22,21,20,19,20,18,16,19,18,32,21,23,31,8,4,5,5,6,5,6,8,9,8,8,7,4,7,3,6,4,3,4,4,5,5,4,7,4,8,8,Loading...,q=Knowledge Graph API&engine=google&location=United Kingdom&num=100
Knowledge Graph API,Germany,36,36,35,37,33,33,35,32,36,28,27,41,35,41,36,31,27,27,0,0,23,26,35,34,33,24,24,23,23,20,19,20,18,12,19,18,13,20,23,24,12,4,5,7,6,5,6,8,9,8,8,7,6,7,3,6,7,3,4,5,4,4,4,7,4,11,7,Loading...,q=Knowledge Graph API&engine=google&location=Germany&num=100
Google Results API,United States,,6,6,5,,5,6,5,5,5,5,6,6,6,6,5,5,5,5,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,6,6,2,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,Loading...,q=Google Results API&engine=google&location=United States&num=100
Google Results API,Canada,,6,6,5,6,6,5,6,6,5,5,6,6,6,6,5,5,5,5,7,5,5,5,5,5,5,5,5,11,5,5,5,5,5,5,5,4,3,6,6,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,2,2,2,Loading...,q=Google Results API&engine=google&location=Canada&num=100
Google Results API,France,,5,5,6,6,6,5,5,5,5,5,6,6,7,6,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,6,6,4,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,Loading...,q=Google Results API&engine=google&location=France&num=100
Google Results API,United Kingdom,,5,5,5,5,5,5,5,5,5,5,7,6,6,6,5,5,5,5,7,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,6,6,4,3,3,3,3,2,3,3,3,3,3,2,3,3,2,1,1,1,1,1,1,1,1,2,2,2,2,Loading...,q=Google Results API&engine=google&location=United Kingdom&num=100
Google Results API,Germany,,5,5,6,6,6,6,5,5,5,4,6,6,5,6,5,5,5,5,7,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,4,3,5,6,4,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,Loading...,q=Google Results API&engine=google&location=Germany&num=100
Search Results API,United States,,,,,,,,,4,3,4,6,6,5,4,4,2,2,2,5,2,4,4,4,4,4,4,3,3,3,3,5,5,5,5,4,3,4,4,4,4,3,3,3,3,2,3,5,3,3,3,3,3,2,2,1,1,1,1,1,2,2,1,2,2,1,1,1,q=Search Results API&engine=google&location=United States&num=100
Search Results API,Canada,,,,,,,,,5,4,5,4,6,6,4,3,2,2,3,6,2,3,4,4,4,4,4,3,3,3,3,5,5,5,5,3,3,4,6,4,2,3,3,3,3,2,3,5,3,3,3,3,3,2,2,1,1,1,1,1,2,2,1,2,2,2,1,Loading...,q=Search Results API&engine=google&location=Canada&num=100
Search Results API,France,,,,,,,,,4,4,5,6,2,6,4,3,3,4,6,5,2,3,4,4,4,4,4,3,3,3,3,5,5,5,5,4,4,4,6,4,4,3,3,3,3,2,3,5,3,3,3,1,3,2,2,1,1,1,1,1,2,2,1,2,2,1,1,Loading...,q=Search Results API&engine=google&location=France&num=100
Search Results API,United Kingdom,,,,,,,,,3,3,3,5,3,4,4,4,2,2,5,5,2,3,4,4,5,4,2,3,0,3,3,5,5,5,5,3,1,4,4,4,3,3,3,3,1,2,3,5,3,3,3,1,3,2,2,1,1,1,1,1,2,2,1,2,2,1,1,Loading...,q=Search Results API&engine=google&location=United Kingdom&num=100
Search Results API,Germany,,,,,,,,,4,3,4,5,2,4,4,3,4,2,6,5,2,3,4,4,4,4,4,3,0,3,3,5,5,5,5,4,4,4,4,4,4,3,3,3,3,2,3,5,3,3,3,3,3,2,2,1,1,1,1,1,2,2,2,2,2,1,1,Loading...,q=Search Results API&engine=google&location=Germany&num=100
Google News Results API,United States,,,,,,,,,,,,,,,,0,21,18,6,6,4,4,7,7,8,6,6,5,5,5,6,4,4,4,5,3,2,5,4,4,4,3,2,3,2,2,1,4,3,1,1,6,4,6,5,3,1,1,2,1,1,1,1,1,1,1,1,Loading...,q=Google News Results API&engine=google&location=United States&num=100
Google News Results API,Canada,,,,,,,,,,,,,,,,0,19,7,7,8,5,4,9,9,10,6,9,5,5,5,6,4,5,5,8,3,3,5,7,3,4,3,3,3,2,2,1,4,3,2,1,6,3,6,5,3,4,1,2,1,1,1,1,1,1,1,1,Loading...,q=Google News Results API&engine=google&location=Canada&num=100
Google News Results API,France,,,,,,,,,,,,,,,,0,22,7,7,8,12,4,7,7,9,6,6,6,5,5,6,5,5,4,5,3,3,6,4,5,4,3,2,3,2,2,1,4,3,2,1,7,3,6,5,3,3,1,1,1,1,1,1,1,1,1,1,Loading...,q=Google News Results API&engine=google&location=France&num=100
Google News Results API,United Kingdom,,,,,,,,,,,,,,,,0,5,5,7,6,16,5,7,7,9,6,6,5,5,6,6,5,5,5,5,3,3,-,4,5,4,3,3,3,2,2,1,4,3,2,1,7,4,6,5,3,4,1,2,1,1,1,1,1,1,1,1,Loading...,q=Google News Results API&engine=google&location=United Kingdom&num=100
Google News Results API,Germany,,,,,,,,,,,,,,,,0,5,5,7,5,16,4,9,9,8,6,5,5,6,6,6,4,5,4,5,3,3,6,4,5,4,3,2,3,2,2,1,4,3,2,1,7,5,6,5,3,1,1,1,1,1,1,1,1,1,1,1,1,q=Google News Results API&engine=google&location=Germany&num=100
Google News API,United States,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,34,20,18,24,21,24,22,0,23,21,0,21,22,32,32,47,41,35,33,31,34,23,19,27,22,22,23,34,23,21,15,69,60,12,16,9,3,3,12,11,11,7,6,Loading...,q=Google News API&engine=google&location=United States&num=100
Google News API,Canada,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,36,20,20,25,20,25,24,24,22,0,0,21,23,33,65,38,45,34,34,31,44,26,17,27,22,23,23,25,23,21,15,14,60,12,11,8,3,3,11,11,11,3,4,Loading...,q=Google News API&engine=google&location=Canada&num=100
Google News API,France,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,37,20,20,22,21,25,22,0,0,0,0,27,22,-,34,37,32,32,32,31,36,22,17,27,22,23,23,25,21,21,15,14,64,13,12,10,3,3,44,11,11,4,4,Loading...,q=Google News API&engine=google&location=France&num=100
Google News API,United Kingdom,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,36,20,20,26,19,24,22,26,0,0,0,27,24,-,32,37,33,33,34,31,34,25,17,27,22,22,23,34,23,21,15,14,65,13,12,8,3,3,13,11,11,4,4,Loading...,q=Google News API&engine=google&location=United Kingdom&num=100
Google News API,Germany,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,34,20,18,26,21,25,22,0,0,0,30,21,24,46,33,37,33,32,34,32,44,27,22,27,22,23,23,29,23,21,15,14,64,13,12,8,3,3,14,11,14,4,4,2,q=Google News API&engine=google&location=Germany&num=100
News Results API,United States,,,,,,,,,,,,,,,,0,43,45,4,53,12,11,12,12,7,2,3,4,3,1,2,1,2,1,3,1,4,5,5,4,4,4,2,2,1,2,3,6,8,9,7,11,7,16,10,6,6,5,5,4,3,3,2,3,3,2,4,Loading...,q=News Results API&engine=google&location=United States&num=100
News Results API,Canada,,,,,,,,,,,,,,,,0,43,42,4,51,10,11,12,12,7,3,2,4,1,1,1,1,2,3,3,2,4,5,5,3,3,4,2,2,1,2,2,6,8,10,7,6,8,16,10,7,4,4,5,5,3,3,2,2,3,2,3,Loading...,q=News Results API&engine=google&location=Canada&num=100
News Results API,France,,,,,,,,,,,,,,,,0,42,43,54,51,17,11,12,25,8,2,2,1,2,1,1,2,2,2,2,1,2,6,5,5,4,4,2,2,1,2,2,6,8,10,7,11,4,16,10,6,4,4,5,4,3,3,2,3,2,2,4,Loading...,q=News Results API&engine=google&location=France&num=100
News Results API,United Kingdom,,,,,,,,,,,,,,,,0,41,42,41,51,11,11,12,23,7,2,1,1,2,1,1,1,2,1,2,2,4,5,17,3,3,4,2,2,2,1,2,6,8,10,7,11,8,16,10,7,3,4,5,2,3,3,2,2,3,2,3,Loading...,q=News Results API&engine=google&location=United Kingdom&num=100
News Results API,Germany,,,,,,,,,,,,,,,,0,37,42,3,3,17,8,13,12,8,2,2,3,1,1,1,2,2,2,2,2,3,15,6,3,4,4,2,2,1,2,2,6,8,10,7,11,5,16,10,7,7,4,5,4,3,3,2,2,3,2,4,Loading...,q=News Results API&engine=google&location=Germany&num=100
Search API,United States,,,,,,,,,,,,,,,,,,0,73,0,0,51,54,0,0,71,81,67,0,64,71,74,73,0,0,91,44,-,41,33,38,18,23,26,25,25,29,56,21,24,22,21,10,8,5,2,4,2,5,1,3,3,5,2,2,2,2,2,q=Search API&engine=google&location=United States&num=100
Search API,Canada,,,,,,,,,,,,,,,,,,70,73,0,55,49,54,0,0,72,0,70,75,63,78,73,73,0,86,91,44,44,41,33,50,20,25,26,27,23,29,56,21,24,21,19,12,8,5,2,3,2,5,2,3,3,2,2,2,2,2,Loading...,q=Search API&engine=google&location=Canada&num=100
Search API,France,,,,,,,,,,,,,,,,,,0,73,0,0,49,55,56,0,70,89,65,75,63,73,81,78,0,85,75,40,-,41,31,48,19,24,27,27,24,29,55,21,24,22,24,8,8,5,2,3,2,5,2,3,3,2,2,2,3,2,Loading...,q=Search API&engine=google&location=France&num=100
Search API,United Kingdom,,,,,,,,,,,,,,,,,,0,73,0,0,49,55,55,0,62,89,64,78,64,72,75,73,0,0,89,41,-,41,33,31,19,23,26,30,23,29,53,21,24,22,23,8,8,5,2,3,2,5,2,3,3,2,2,2,2,2,Loading...,q=Search API&engine=google&location=United Kingdom&num=100
